kana,kanji,pos,desc,word,lesson,idx
こっち                                              ,                                              , 名词     , 这边，这里                                 , こっち                                                                , 151 , 1
やあ                                                ,                                              , 感叹词   , 哎呀，啊，呀                               , やあ                                                                  , 151 , 1
ちっとも                                            ,                                              , 副词     , 一点儿（也不），毫（无）                   , ちっとも                                                              , 151 , 1
それはそうと                                        ,                                              , 连接词   , 此外，另外，顺便说一句                     , それはそうと                                                          , 151 , 1
ねえ                                                ,                                              , 感叹词   , 喂                                         , ねえ                                                                  , 151 , 1
みずたき                                            , 水炊き                                       , 名词     , 鸡肉时蔬火锅，鸡肉汆锅                     , !水炊(みずた)き                                                     , 151 , 1
とりにく                                            , とり肉                                       , 名词     , 鸡肉                                       , とり!肉(にく)                                                     , 151 , 1
あたたまる                                          , 温まる                                       , 动1      , 暖和，温暖                                 , !温(あたた)まる                                                   , 151 , 1
よし                                                ,                                              , 感叹词   , 好，对                                     , よし                                                                  , 151 , 1
もりあわせ                                          , 盛り合わせ                                   , 名词     , 拼盘（菜）                                 , !盛り合(もりあ)わせ                                               , 151 , 1
タコ                                                ,                                              , 名词     , 章鱼                                       , タコ                                                                  , 151 , 1
とうふ                                              , 豆腐                                         , 名词     , 豆腐                                       , !豆腐(とうふ)                                                         , 151 , 1
だいこん                                            , 大根                                         , 名词     , 萝卜                                       , !大根(だいこん)                                                       , 151 , 1
カクテル                                            ,                                              , 名词     , 鸡尾酒，混合酒                             , カクテル                                                              , 151 , 1
フランスりょうり                                    , ～料理                                       , 名词     , 法国菜                                     , !～料理(フランスりょうり)                                             , 151 , 1
そうだなあ                                          ,                                              ,          , 是啊                                       , そうだなあ                                                            , 151 , 1
～にんまえ                                          , ～人前                                       ,          , ～人份儿，～份儿                           , !～人前(～にんまえ)                                                   , 151 , 1
きんえんせき                                        , 禁煙席                                       , 名词     , 无烟席，禁烟席，禁烟区                     , !禁煙席(きんえんせき)                                                 , 151 , 1
やきそば                                            , 焼きそば                                     , 名词     , 炒面                                       , !焼(や)きそば                                                   , 151 , 1
チャーハン                                          ,                                              , 名词     , 炒饭                                       , チャーハン                                                            , 151 , 1
かいけい                                            , 会計                                         , 名词     , 结帐，付款；会计                           , !会計(かいけい)                                                       , 151 , 1
わりかん                                            , 割り勘                                       , 名词     , AA制，分摊费用，均摊费用                   , !割り勘(わりかん)                                                     , 151 , 1
おごる                                              ,                                              , 动1      , 请客，做东；奢华                           , おごる                                                                , 151 , 1
そっち                                              ,                                              , 代词     , 那边，那里                                 , そっち                                                                , 151 , 1
あっち                                              ,                                              , 代词     , 那边，那里                                 , あっち                                                                , 151 , 1
どっち                                              ,                                              , 代词     , 哪边，哪里                                 , どっち                                                                , 151 , 1
ねえねえ                                            ,                                              , 感叹词   , 喂喂，哎哎                                 , ねえねえ                                                              , 151 , 1
よう                                                ,                                              , 感叹词   , 哟，噢                                     , よう                                                                  , 151 , 1
とら                                                , 虎                                           , 名词     , 老虎，虎                                   , !虎(とら)                                                             , 151 , 1
すこしも                                            , 少しも                                       , 副词     , 一点也（不）                               , !少(すこ)しも                                                     , 151 , 1
しょうばい                                          , 商売                                         , 名词     , 生意，买卖                                 , !商売(しょうばい)                                                     , 151 , 1
